iter	Passed	Remaining
0	0	510
1	0	379
2	0	326
3	1	333
4	1	318
5	1	313
6	2	303
7	2	295
8	2	287
9	2	284
10	3	280
11	3	279
12	3	274
13	3	270
14	4	268
15	4	264
16	4	261
17	4	265
18	5	265
19	5	262
20	5	262
21	5	266
22	6	265
23	6	263
24	6	262
25	6	260
26	7	258
27	7	256
28	7	255
29	7	254
30	8	252
31	8	250
32	8	250
33	8	249
34	9	248
35	9	247
36	9	246
37	9	245
38	9	245
39	10	244
40	10	245
41	10	245
42	11	247
43	11	247
44	11	246
45	11	247
46	12	246
47	12	246
48	12	246
49	12	245
50	13	244
51	13	243
52	13	243
53	13	242
54	14	242
55	14	241
56	14	242
57	14	241
58	15	242
59	15	242
60	15	242
61	16	242
62	16	242
63	16	242
64	16	242
65	17	241
66	17	240
67	17	240
68	17	239
69	17	239
70	18	238
71	18	237
72	18	237
73	18	237
74	19	237
75	19	236
76	19	236
77	19	235
78	20	235
79	20	235
80	20	234
81	20	234
82	21	232
83	21	231
84	21	231
85	21	230
86	22	230
87	22	230
88	22	230
89	22	229
90	22	229
91	23	228
92	23	228
93	23	227
94	23	227
95	24	227
96	24	226
97	24	227
98	24	226
99	25	227
100	25	227
101	25	227
102	26	227
103	26	227
104	26	227
105	26	226
106	27	226
107	27	225
108	27	224
109	27	224
110	28	224
111	28	224
112	28	223
113	28	223
114	28	222
115	29	222
116	29	221
117	29	221
118	29	221
119	30	220
120	30	220
121	30	219
122	30	219
123	31	219
124	31	219
125	31	218
126	31	217
127	31	217
128	32	217
129	32	216
130	32	216
131	32	216
132	33	215
133	33	215
134	33	214
135	33	214
136	34	214
137	34	214
138	34	214
139	34	214
140	35	214
141	35	213
142	35	213
143	35	212
144	36	212
145	36	212
146	36	211
147	36	211
148	36	211
149	37	211
150	37	210
151	37	210
152	37	210
153	38	209
154	38	209
155	38	209
156	38	209
157	39	208
158	39	208
159	39	208
160	39	207
161	39	206
162	40	206
163	40	206
164	40	206
165	40	205
166	41	205
167	41	204
168	41	204
169	41	204
170	42	204
171	42	204
172	42	203
173	42	203
174	43	203
175	43	203
176	43	202
177	43	202
178	44	202
179	44	202
180	44	201
181	44	201
182	45	201
183	45	201
184	45	200
185	45	200
186	46	200
187	46	199
188	46	199
189	46	199
190	46	199
191	47	198
192	47	198
193	47	198
194	47	198
195	48	197
196	48	197
197	48	197
198	49	197
199	49	196
200	49	196
201	49	196
202	49	195
203	50	196
204	50	195
205	50	195
206	50	195
207	51	194
208	51	194
209	51	194
210	51	194
211	52	193
212	52	193
213	52	193
214	52	193
215	53	192
216	53	192
217	53	192
218	53	191
219	54	191
220	54	191
221	54	190
222	54	190
223	54	190
224	55	190
225	55	189
226	55	189
227	55	189
228	56	188
229	56	188
230	56	188
231	57	190
232	57	189
233	57	189
234	58	189
235	58	189
236	58	188
237	58	188
238	59	188
239	59	188
240	59	187
241	59	187
242	60	187
243	60	186
244	60	186
245	60	186
246	61	186
247	61	185
248	61	185
249	61	185
250	61	185
251	62	184
252	62	184
253	62	184
254	62	183
255	63	183
256	63	183
257	63	183
258	64	183
259	64	182
260	64	182
261	64	182
262	64	182
263	65	181
264	65	181
265	65	181
266	66	181
267	66	181
268	66	180
269	66	180
270	67	180
271	67	180
272	67	179
273	67	179
274	68	179
275	68	179
276	68	178
277	68	178
278	68	178
279	69	177
280	69	177
281	69	177
282	69	177
283	70	176
284	70	176
285	70	176
286	70	175
287	71	175
288	71	175
289	71	174
290	71	174
291	71	174
292	72	174
293	72	173
294	72	173
295	72	173
296	73	173
297	73	172
298	73	172
299	73	172
300	74	172
301	74	172
302	74	171
303	74	171
304	75	171
305	75	170
306	75	170
307	75	170
308	76	170
309	76	169
310	76	169
311	76	169
312	77	169
313	77	168
314	77	168
315	77	168
316	78	168
317	78	167
318	78	167
319	78	167
320	78	167
321	79	166
322	79	166
323	79	166
324	79	165
325	80	165
326	80	165
327	80	165
328	80	164
329	81	164
330	81	164
331	81	163
332	81	163
333	82	163
334	82	163
335	82	163
336	82	162
337	83	162
338	83	162
339	83	162
340	83	161
341	84	161
342	84	161
343	84	161
344	84	160
345	84	160
346	85	160
347	85	160
348	85	159
349	85	159
350	86	159
351	86	159
352	86	158
353	86	158
354	87	158
355	87	157
356	87	157
357	87	157
358	88	157
359	88	156
360	88	156
361	88	156
362	89	156
363	89	156
364	89	155
365	89	155
366	90	155
367	90	155
368	90	154
369	90	154
370	90	154
371	91	153
372	91	153
373	91	153
374	91	153
375	92	152
376	92	152
377	92	152
378	92	152
379	93	151
380	93	151
381	93	151
382	93	151
383	94	150
384	94	150
385	94	150
386	94	150
387	95	150
388	95	149
389	95	149
390	95	149
391	96	149
392	96	148
393	96	148
394	96	148
395	97	148
396	97	148
397	97	147
398	97	147
399	98	147
400	98	146
401	98	146
402	98	146
403	98	146
404	99	145
405	99	145
406	99	145
407	99	144
408	100	144
409	100	144
410	100	144
411	100	143
412	101	143
413	101	143
414	101	143
415	101	142
416	102	142
417	102	142
418	102	142
419	103	142
420	103	142
421	103	141
422	103	141
423	104	141
424	104	141
425	105	141
426	105	141
427	105	141
428	105	140
429	106	140
430	106	140
431	106	140
432	106	139
433	107	139
434	107	139
435	107	139
436	107	138
437	107	138
438	108	138
439	108	138
440	108	137
441	108	137
442	109	137
443	109	137
444	109	137
445	110	136
446	110	136
447	110	136
448	110	136
449	111	135
450	111	135
451	111	135
452	111	135
453	112	134
454	112	134
455	112	134
456	112	134
457	113	133
458	113	133
459	113	133
460	113	133
461	114	132
462	114	132
463	114	132
464	115	132
465	115	132
466	115	131
467	115	131
468	115	131
469	116	130
470	116	130
471	116	130
472	116	130
473	117	129
474	117	129
475	117	129
476	117	129
477	118	128
478	118	128
479	118	128
480	118	128
481	119	127
482	119	127
483	119	127
484	119	127
485	119	126
486	120	126
487	120	126
488	120	126
489	120	125
490	121	125
491	121	125
492	121	125
493	121	124
494	122	124
495	122	124
496	122	124
497	122	123
498	123	123
499	123	123
500	123	123
501	123	122
502	123	122
503	124	122
504	124	122
505	124	121
506	124	121
507	125	121
508	125	120
509	125	120
510	125	120
511	126	120
512	126	119
513	126	119
514	126	119
515	127	119
516	127	118
517	127	118
518	127	118
519	127	118
520	128	117
521	128	117
522	128	117
523	129	117
524	129	116
525	129	116
526	129	116
527	129	116
528	130	115
529	130	115
530	130	115
531	130	115
532	131	114
533	131	114
534	131	114
535	131	114
536	132	113
537	132	113
538	132	113
539	133	113
540	133	113
541	133	112
542	133	112
543	134	112
544	134	112
545	134	111
546	134	111
547	135	111
548	135	111
549	135	110
550	135	110
551	135	110
552	136	110
553	136	109
554	136	109
555	136	109
556	137	109
557	137	108
558	137	108
559	137	108
560	137	107
561	138	107
562	138	107
563	138	107
564	139	107
565	139	106
566	139	106
567	139	106
568	140	106
569	140	105
570	140	105
571	140	105
572	141	105
573	141	104
574	141	104
575	141	104
576	142	104
577	142	103
578	142	103
579	142	103
580	143	103
581	143	102
582	143	102
583	143	102
584	144	102
585	144	101
586	144	101
587	144	101
588	145	101
589	145	101
590	145	100
591	146	100
592	146	100
593	146	100
594	146	99
595	147	99
596	147	99
597	147	99
598	148	99
599	148	98
600	148	98
601	148	98
602	148	98
603	149	97
604	149	97
605	149	97
606	149	97
607	150	96
608	150	96
609	150	96
610	150	96
611	151	95
612	151	95
613	151	95
614	151	95
615	152	94
616	152	94
617	152	94
618	152	93
619	152	93
620	153	93
621	153	93
622	153	92
623	153	92
624	154	92
625	154	92
626	154	91
627	154	91
628	155	91
629	155	91
630	155	91
631	155	90
632	156	90
633	156	90
634	156	90
635	156	89
636	157	89
637	157	89
638	157	89
639	157	88
640	158	88
641	158	88
642	158	88
643	158	87
644	159	87
645	159	87
646	159	87
647	159	86
648	160	86
649	160	86
650	160	86
651	161	85
652	161	85
653	161	85
654	162	85
655	162	85
656	162	84
657	162	84
658	162	84
659	163	84
660	163	83
661	163	83
662	163	83
663	164	83
664	164	82
665	164	82
666	164	82
667	165	82
668	165	81
669	165	81
670	165	81
671	166	81
672	166	80
673	166	80
674	166	80
675	166	80
676	167	79
677	167	79
678	167	79
679	167	79
680	168	78
681	168	78
682	168	78
683	168	78
684	169	77
685	169	77
686	169	77
687	169	76
688	170	76
689	170	76
690	170	76
691	170	76
692	171	75
693	171	75
694	171	75
695	171	75
696	172	74
697	172	74
698	172	74
699	172	74
700	173	73
701	173	73
702	173	73
703	173	73
704	174	72
705	174	72
706	174	72
707	174	72
708	175	71
709	175	71
710	175	71
711	175	71
712	176	70
713	176	70
714	176	70
715	176	70
716	177	69
717	177	69
718	177	69
719	177	69
720	178	68
721	178	68
722	178	68
723	178	68
724	178	67
725	179	67
726	179	67
727	179	67
728	179	66
729	180	66
730	180	66
731	180	66
732	180	65
733	181	65
734	181	65
735	181	65
736	181	64
737	182	64
738	182	64
739	182	64
740	182	63
741	183	63
742	183	63
743	183	63
744	183	62
745	183	62
746	184	62
747	184	62
748	184	61
749	185	61
750	185	61
751	185	61
752	185	60
753	186	60
754	186	60
755	186	60
